,GSE_X,GSE_Y,GSE_Z,RANGE,HGLAT,HGLONG,CRN(E)
2022-01-01 04:40:00,193.79645386171214,-17.08618417058639,14.90482413452493,145.8716180096608,-2.979380534680281,139.97358935046012,2252.0
2022-01-01 04:50:00,193.7964200736908,-17.05785007996237,14.90552933991847,145.87160678253494,-2.979380534680281,139.85899779143395,2252.0
2022-01-01 05:00:00,193.79638538099718,-17.029513913452494,14.906233225148949,145.8715955873029,-2.979380534680281,139.74440623240778,2252.0
2022-01-01 05:10:00,193.79634978206334,-17.001175678896203,14.90693579021637,145.8715844239641,-2.979380534680281,139.6871104528947,2252.0
2022-01-01 05:20:00,193.79631327375353,-16.97283538099718,14.907637036688618,145.87157329250803,-2.979380534680281,139.57251889386853,2252.0
2022-01-01 05:30:00,193.79627585449984,-16.94449302289119,14.908336962997804,145.8715621929512,-2.979380534680281,139.51522311435545,2252.0
2022-01-01 05:40:00,193.79623752587017,-16.916148610849795,14.909035569143931,145.87155112529467,-2.979380534680281,139.40063155532928,2252.0
2022-01-01 05:50:00,193.79619828316086,-16.887802149576668,14.909732856694887,145.87154008954764,-2.979380534680281,139.28603999630312,2252.0
2022-01-01 06:00:00,193.796158124804,-16.859453643775478,14.910428825650675,145.87152908569325,-2.979380534680281,139.22874421679006,2252.0
2022-01-01 06:10:00,193.79611705079964,-16.83110309971778,14.911123476011287,145.87151811375404,-2.979380534680281,139.11415265776387,2252.0
2022-01-01 06:20:00,193.79607505801192,-16.802750520539355,14.911816807776733,145.87150717372126,-2.979380534680281,139.0568568782508,2252.0
2022-01-01 06:30:00,193.7960321464409,-16.774395914079648,14.912508820947005,145.87149626560566,-2.979380534680281,138.94226531922462,2252.0
2022-01-01 06:40:00,193.79598831295078,-16.746039283474442,14.913199515522107,145.87148538940204,-2.979380534680281,138.82767376019848,2252.0
2022-01-01 06:50:00,193.79594355597365,-16.717680633427406,14.913888893069927,145.87147454510952,-2.979380534680281,138.7703779806854,2252.0
2022-01-01 07:00:00,193.79589787550958,-16.689319968642206,14.914576952022577,145.87146373274064,-2.979380534680281,138.65578642165923,2252.0
2022-01-01 07:10:00,193.7958512684227,-16.660957296958294,14.915263693947946,145.8714529522963,-2.979380534680281,138.59849064214615,2252.0
2022-01-01 07:20:00,193.79580373314516,-16.632592619943555,14.915949117278142,145.87144220377917,-2.979380534680281,138.48389908311995,2252.0
2022-01-01 07:30:00,193.79575526810913,-16.60422594543744,14.91663322514895,145.87143148719005,-2.979380534680281,138.3693075240938,2252.0
2022-01-01 07:40:00,193.79570587331455,-16.57585727657573,14.917316014424584,145.87142080253156,-2.979380534680281,138.31201174458073,2252.0
2022-01-01 07:50:00,193.79565554562558,-16.54748662119787,14.917997488240829,145.8714101498045,-2.979380534680281,138.19742018555456,2252.0
2022-01-01 08:00:00,193.79560428504232,-16.519113980871747,14.918677645029788,145.87139952901143,-2.979380534680281,138.14012440604148,2252.0
2022-01-01 08:10:00,193.79555208686108,-16.490739361868926,14.919356484791471,145.87138894016098,-2.979380534680281,138.0255328470153,2252.0
2022-01-01 08:20:00,193.79549895421763,-16.46236277046096,14.920034007525869,145.87137838324782,-2.979380534680281,137.91094128798915,2252.0
2022-01-01 08:30:00,193.7954448808404,-16.43398421135152,14.920710214800877,145.8713678582823,-3.036676314193363,137.85364550847606,2252.0
2022-01-01 08:40:00,193.79538986829726,-16.405603689244277,14.921385106616494,145.87135736525528,-3.036676314193363,137.7390539494499,2252.0
2022-01-01 08:50:00,193.79533391345248,-16.377221207275007,14.92205868297272,145.87134690418878,-3.036676314193363,137.6817581699368,2252.0
2022-01-01 09:00:00,193.79527701630604,-16.34883677485105,14.922730942301662,145.87133647506568,-3.036676314193363,137.56716661091065,2252.0
