; PROGRAM=VOFLX_CR5A
; VERSION= V2.6    05-MAY-2016     
; RUN_TIME=22-Oct-14 17:17:26  
; SECTORS_SELECTED=1,2,3,5,6,7       
;
;
;
;  s/c	  Start_Year	   Start_Day	   End_Year	    End_Day	  Ave._Year	  Std._Year	   Z	   A	          E/n	      (delta)E/2	         Emin	         Emax	      Raw_Flux	     Raw_Sigma	     Alpha	    dAlpha	          Flux	         sigma	S1	S2	S3	S4	S5	S6	S7	S8	SU
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	      16.5730	          3.0000	      13.5730	      19.5730	    1.2573E-05	    3.7945E-07	    -1.000	    -1.000	    1.2573E-05	    3.7945E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	      23.5930	          4.0200	      19.5730	      27.6130	    4.0934E-06	    1.8703E-07	    -1.000	    -1.000	    4.0934E-06	    1.8703E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	      33.0865	          5.4735	      27.6130	      38.5600	    1.5314E-06	    9.8039E-08	    -1.000	    -1.000	    1.5314E-06	    9.8039E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   8	  16	      53.5565	          7.8395	      45.7170	      61.3960	    1.1811E-06	    7.7880E-08	    -1.000	    -1.000	    1.1811E-06	    7.7880E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	       0.8400	          0.1570	       0.6830	       0.9970	    4.5430E-05	    8.1594E-06	    -1.000	    -1.000	    4.5430E-05	    8.1594E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	       1.2435	          0.2465	       0.9970	       1.4900	    4.7603E-05	    6.6657E-06	    -1.000	    -1.000	    4.7603E-05	    6.6657E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	       2.1320	          0.6420	       1.4900	       2.7740	    3.5682E-05	    3.5864E-06	    -1.000	    -1.000	    3.5682E-05	    3.5864E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	       3.3555	          0.5815	       2.7740	       3.9370	    1.4594E-05	    2.4323E-06	    -1.000	    -1.000	    1.4594E-05	    2.4323E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	       4.7315	          0.7945	       3.9370	       5.5260	    9.1395E-06	    1.6416E-06	    -1.000	    -1.000	    9.1395E-06	    1.6416E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	       7.5625	          2.0365	       5.5260	       9.5990	    1.9326E-06	    4.6872E-07	    -1.000	    -1.000	    1.9326E-06	    4.6872E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	      12.6410	          1.0860	      11.5550	      13.7270	    1.1388E-06	    1.8980E-07	    -1.000	    -1.000	    1.1388E-06	    1.8980E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	      16.8275	          3.1005	      13.7270	      19.9280	    6.0940E-07	    8.2171E-08	    -1.000	    -1.000	    6.0940E-07	    8.2171E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	      23.7125	          3.7845	      19.9280	      27.4970	    2.2694E-07	    4.5387E-08	    -1.000	    -1.000	    2.2694E-07	    4.5387E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	      32.7095	          5.2125	      27.4970	      37.9220	    7.9087E-08	    2.2830E-08	    -1.000	    -1.000	    7.9087E-08	    2.2830E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  10	  20	      62.6880	          9.6740	      53.0140	      72.3620	    1.1236E-07	    2.1624E-08	    -1.000	    -1.000	    1.1236E-07	    2.1624E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  12	  24	      15.0155	          1.8985	      13.1170	      16.9140	    3.6190E-08	    2.5590E-08	    -1.000	    -1.000	    3.6190E-08	    2.5590E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  12	  24	      21.3115	          4.3975	      16.9140	      25.7090	    5.4684E-08	    2.0669E-08	    -1.000	    -1.000	    5.4684E-08	    2.0669E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  12	  24	      32.1940	          6.4850	      25.7090	      38.6790	    6.8866E-08	    1.9100E-08	    -1.000	    -1.000	    6.8866E-08	    1.9100E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  12	  24	      69.5350	         11.0470	      58.4880	      80.5820	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  14	  28	      14.9835	          1.5365	      13.4470	      16.5200	    2.3150E-07	    2.3150E-07	    -1.000	    -1.000	    2.3150E-07	    2.3150E-07	1	1	1	0	1	1	1	0	0
